itemid,foruserid,activitytype,forusername,datetime,todo-list-name,publicinfo,id,projectId,for-user-avatar-url,extradescription,type,fromusername,description,lockdownId,link,isprivate,itemlink,latestActivityType,due-date,userid,from-user-avatar-url
10014202,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574516,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Validate internal data version,,tasks/10014202,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014186,,new,,2017-12-13T18:43:07Z,Project kick-off,,35574500,314397,,Project kick-off,task,Paul S.,,,tasks/10014186,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91049,,,,new,Salesforce - Customer Profile - Create Link,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91049,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574532
10014174,,new,,2017-12-13T18:43:07Z,Production deployment,,35574486,314397,,Production deployment,task,Paul S.,,,tasks/10014174,0,tasklists/1343780,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014191,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 extract,,35574505,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 extract,task,Paul S.,Sample 1 - Review data extract,,tasks/10014191,0,tasklists/1343773,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014175,149182,new,Customer V.,2017-12-13T18:43:07Z,Production sign-off,,35574487,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Production sign-off,task,Paul S.,Sign-off on BRD,,tasks/10014175,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014207,149182,new,Customer V.,2017-12-13T18:43:07Z,Sample 2 load,,35574521,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Sample 2 load,task,Paul S.,Sample 2 - Send data extract,,tasks/10014207,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014180,149182,new,Customer V.,2017-12-13T18:43:07Z,Production sign-off,,35574492,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Production sign-off,task,Paul S.,Submit attribute relabeling requests,,tasks/10014180,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014212,149182,new,Customer V.,2017-12-13T18:43:07Z,Technical configuration,,35574526,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Technical configuration,task,Paul S.,Configure SFTP,,tasks/10014212,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014196,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 load,,35574510,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 load,task,Paul S.,Sample 1 - Validate internal data version,,tasks/10014196,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014173,149183,new,DM Engineer V.,2017-12-13T18:43:07Z,Production deployment,,35574485,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_b01b5346ba961d76d02dc63f14c0f37c.png/621af0ddabc4f9cd0460897ab52dc061.png,Production deployment,task,Paul S.,Deploy production environment,,tasks/10014173,0,tasklists/1343780,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014201,149182,new,Customer V.,2017-12-13T18:43:07Z,Sample 2 load,,35574515,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Sample 2 load,task,Paul S.,Sample 2 - Validate application and submit change requests,,tasks/10014201,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014185,149180,new,Visier P.,2017-12-13T18:43:07Z,Project kick-off,,35574499,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Project kick-off,task,Paul S.,Send post kick off email,,tasks/10014185,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91048,,,,new,Completed Jira Tasks - Create Link and Filter for Tenant Completed Tasks,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91048,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574531
10014190,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 extract,,35574504,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 extract,task,Paul S.,Sample 1 - Accept data extract,,tasks/10014190,0,tasklists/1343773,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014206,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574520,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Accept data extract,,tasks/10014206,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014179,149180,new,Visier P.,2017-12-13T18:43:07Z,Production sign-off,,35574491,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Production sign-off,task,Paul S.,Request deployment configuration instructions,,tasks/10014179,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014211,149180,new,Visier P.,2017-12-13T18:43:07Z,Technical configuration,,35574525,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Technical configuration,task,Paul S.,Test SFTP,,tasks/10014211,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014195,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 1 load,,35574509,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 1 load,task,Paul S.,Sample 1 - Demo application,,tasks/10014195,0,tasklists/1343775,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014172,,new,,2017-12-13T18:43:07Z,Pre - Project kick-off,,35574484,314397,,Pre - Project kick-off,task,Paul S.,,,tasks/10014172,0,tasklists/1343783,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014200,,new,,2017-12-13T18:43:07Z,Sample 1 requirements,,35574514,314397,,Sample 1 requirements,task,Paul S.,,,tasks/10014200,0,tasklists/1343774,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014184,149180,new,Visier P.,2017-12-13T18:43:07Z,Project kick-off,,35574498,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Project kick-off,task,Paul S.,Conduct kick-off call,,tasks/10014184,0,tasklists/1343771,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
91047,,,,new,Working Jira Tasks - Create Link and Filter for Tenant Working Items,,314397,new,207280,2017-12-13T18:43:07Z,,0,link,links/91047,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png,links/,,,Paul S.,35574530
10014189,,new,,2017-12-13T18:43:07Z,Project review,,35574503,314397,,Project review,task,Paul S.,,,tasks/10014189,0,tasklists/1343781,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014205,149184,new,Visier B.,2017-12-13T18:43:07Z,Sample 2 load,,35574519,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_7f89e60f9cee03336f8069da485ecd8e.png,Sample 2 load,task,Paul S.,Sample 2 - Review data extract,,tasks/10014205,0,tasklists/1343776,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014178,149180,new,Visier P.,2017-12-13T18:43:07Z,Production sign-off,,35574490,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_6561c43cbe4c940e69834f91f6d8130c.png,Production sign-off,task,Paul S.,Publish BRD,,tasks/10014178,0,tasklists/1343778,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
10014210,149182,new,Customer V.,2017-12-13T18:43:07Z,Technical configuration,,35574524,314397,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_ad4dac84e5c4aab4d68d036627ee7079.png/6214966e05ade47536b9709e00be5311.png,Technical configuration,task,Paul S.,Configure SSO,,tasks/10014210,0,tasklists/1343779,new,,207280,https://s3.amazonaws.com/TWFiles/375952/userAvatar/twia_75c55f68f097dd24f17351f92360c681.png
